[Debug] Encriptando bloques (archivo original: 11450 bytes):
[Block 128] IN: V0=0x69636965, V1=0x7261206C -> C0=0x3CC4BA65, C1=0xB6B0E45F
[Block 129] IN: V0=0x61207365, V1=0xC3B1616C -> C0=0x2A6E07CC, C1=0x080A7EC7
[Block 130] IN: V0=0x20646520, V1=0x6C612063 -> C0=0xBFBC293D, C1=0x0FF7986D
[Block 131] IN: V0=0x72757A2E, V1=0x2041206C -> C0=0xBDA652E0, C1=0xEBEF5B07
[Block 132] IN: V0=0x6F206C61, V1=0x72676F20 -> C0=0xDB4EFB59, C1=0x37C2BF33
[Block 133] IN: V0=0x6465206C, V1=0x6F732061 -> C0=0x73F9F761, C1=0x78DDE49E
[Block 134] IN: V0=0xC3B16F73, V1=0x206E6F20 -> C0=0x4CB3D233, C1=0x2F7D4EB2
[Block 135] IN: V0=0x686162C3, V1=0xAD612071 -> C0=0x834B5606, C1=0x9826B829
[Block 136] IN: V0=0x75656272, V1=0x61646F20 -> C0=0xD8AEA719, C1=0x62D385B8
[Block 137] IN: V0=0x6E756E63, V1=0x61206573 -> C0=0x3E81E928, C1=0x0C396940
[Block 138] IN: V0=0x61207072, V1=0x6F6D6573 -> C0=0x21698957, C1=0x0C9B3FB0
[Block 139] IN: V0=0x612E204E, V1=0x6F206361 -> C0=0x674112D8, C1=0x845BC1D1
[Block 140] IN: V0=0x726563C3, V1=0xAD612064 -> C0=0x6515B181, C1=0x4BF0E323
[Block 141] IN: V0=0x6520636F, V1=0x72616A65 -> C0=0x2CA94CD2, C1=0xDAC43CEF
[Block 142] IN: V0=0x3B20756E, V1=0x61206D61 -> C0=0xFD47F47B, C1=0xDD84C2B7
[Block 143] IN: V0=0xC3B1616E, V1=0x61206861 -> C0=0xB62D5840, C1=0x1A6109EA
[Block 144] IN: V0=0x62C3AD61, V1=0x2063616D -> C0=0x1527CC37, C1=0xFE872BC2
[Block 145] IN: V0=0x62696164, V1=0x6F2C2063 -> C0=0xCDB2CDCD, C1=0xAF1A76EE
[Block 146] IN: V0=0x6F6E206D, V1=0xC3A17320 -> C0=0x632C9BA5, C1=0xF05B6DCB
[Block 147] IN: V0=0x696E6469, V1=0x66657265 -> C0=0x779E3C24, C1=0xB50AE17B
[Block 148] IN: V0=0x6E636961, V1=0x20717565 -> C0=0xDC601F7D, C1=0x3E5623E7
